Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,3,0.337315155267248,0.7483019302569615,10000000,1902040,0.190204,0.49939591175790204,169,188,0.898936170212766
A1,A,0,5.0,3,0.7038860484452606,0.8638812827190795,10000000,2421379,0.2421379,0.5003384435067786,188,188,1.0
A1,A,24,3.3,3,0.37981916246968167,0.8126466313108475,10000000,2177244,0.2177244,0.49913147079518877,175,188,0.9308510638297872
A1,A,24,5.0,3,0.5875723418486823,0.8642055628159485,10000000,2233455,0.2233455,0.4997212838405072,186,188,0.9893617021276596
A1,A,40,3.3,3,0.24574087047667142,0.9108336826883915,10000000,1541400,0.15414,0.49958609056701697,183,188,0.973404255319149
A1,A,40,5.0,3,0.7628837822092257,0.8716925158605399,10000000,2481888,0.2481888,0.5005185568405988,188,188,1.0
A2,A,0,3.3,3,0.18450628035902378,0.8720261780998996,10000000,1808722,0.1808722,0.49979764717850506,143,162,0.8827160493827161
A2,A,0,5.0,3,0.6484237492977927,0.8732371349944653,10000000,2314881,0.2314881,0.5002896477183925,186,188,0.9893617021276596
A2,A,24,3.3,3,0.48712862318848077,0.8418674557115357,10000000,2345154,0.2345154,0.5003675664796428,170,188,0.9042553191489362
A2,A,24,5.0,3,0.46592611370676895,0.8591003077172178,10000000,2048227,0.2048227,0.4997112136496589,185,188,0.9840425531914894
A2,A,40,3.3,3,0.2379782187972313,0.825788753499814,10000000,1619223,0.1619223,0.4996544639002781,174,188,0.925531914893617
A2,A,40,5.0,3,0.5968771080496683,0.8900570378976016,10000000,2422990,0.242299,0.49984316897717285,188,188,1.0
A3,A,0,3.3,3,0.4208088329690111,0.8477121581967794,10000000,2276742,0.2276742,0.49964027544622974,186,188,0.9893617021276596
A3,A,24,3.3,3,0.47571228135445237,0.8739941480668042,10000000,2266409,0.2266409,0.5004290928954129,187,188,0.9946808510638298
A4,A,0,3.3,3,0.7706557839714661,0.8645455147998592,10000000,2469218,0.2469218,0.5001628045802355,188,188,1.0
A4,A,24,3.3,3,0.5705106134513244,0.8854186832153066,10000000,2387947,0.2387947,0.5000270106497339,187,188,0.9946808510638298
A5,A,0,3.3,3,0.4198645554673488,0.8750464729469702,10000000,2123786,0.2123786,0.4999901119981015,187,188,0.9946808510638298
A5,A,24,3.3,3,0.3203399140819411,0.8693937561938401,10000000,1946063,0.1946063,0.5005845134510034,163,188,0.8670212765957447
A6,A,0,3.3,3,0.5762044105168784,0.870561580533718,10000000,2310961,0.2310961,0.4998405425275459,160,162,0.9876543209876543
A6,A,24,3.3,3,0.36924662757763743,0.9139663834601013,10000000,2068495,0.2068495,0.5001075661289972,161,162,0.9938271604938271
A7,A,0,3.3,3,0.7999032204266513,0.8821694835725755,10000000,2478942,0.2478942,0.4996308909204007,187,188,0.9946808510638298
A7,A,24,3.3,3,0.6158821295543627,0.7918685034708325,10000000,2412574,0.2412574,0.5000186522776089,170,188,0.9042553191489362
B1,B,0,3.3,3,0.5765833220638704,0.6029340440667519,10000000,2500473,0.2500473,0.4998738238725233,66,188,0.35106382978723405
B1,B,0,5.0,3,0.4791987869827931,0.8826581054142424,10000000,2335954,0.2335954,0.5000226888029473,184,188,0.9787234042553191
B1,B,24,3.3,3,0.26426028116432587,0.8356197046869284,10000000,1982367,0.1982367,0.500081468264958,130,162,0.8024691358024691
B1,B,24,5.0,3,0.4022061274843576,0.8611688081624617,10000000,2177552,0.2177552,0.49947739479929754,187,188,0.9946808510638298
B1,B,40,3.3,3,0.3087230616937485,0.85733192833242,10000000,1956501,0.1956501,0.49985765404668847,139,162,0.8580246913580247
B1,B,40,5.0,3,0.4834437344600184,0.741968557944649,10000000,2373459,0.2373459,0.5000436072415828,138,188,0.7340425531914894
B2,B,0,3.3,3,0.33988904008441806,0.6968099696584421,10000000,2096477,0.2096477,0.499982589840003,132,162,0.8148148148148148
B2,B,0,5.0,3,0.8481459221275317,0.9003648303794277,10000000,2481578,0.2481578,0.5001410392903225,188,188,1.0
B2,B,24,3.3,3,0.5117024493920038,0.8047133329659727,10000000,2369448,0.2369448,0.5001447594545227,173,188,0.9202127659574468
B2,B,24,5.0,3,0.6119380033395453,0.8919810437797304,10000000,2267659,0.2267659,0.5003234613317081,186,188,0.9893617021276596
B2,B,40,3.3,3,0.3041818660496143,0.8517518953374926,10000000,1865875,0.1865875,0.5006991357941984,162,188,0.8617021276595744
B2,B,40,5.0,3,0.8113850148298928,0.8079416155989532,10000000,2488984,0.2488984,0.4996926456738975,162,162,1.0
B3,B,0,3.3,3,0.8971820215275801,0.8672637523052208,10000000,2498737,0.2498737,0.4996332147000665,188,188,1.0
B3,B,0,5.0,3,0.9032119445201356,0.876254181767845,10000000,2498206,0.2498206,0.4999031304864371,188,188,1.0
B3,B,24,3.3,3,0.8511850095278347,0.8903674689387865,10000000,2496848,0.2496848,0.4994857516356622,188,188,1.0
B3,B,24,5.0,3,0.9128255895393171,0.8506760335274833,10000000,2499725,0.2499725,0.4998113792517177,188,188,1.0
B3,B,40,3.3,3,0.7769107742072161,0.8700398180146997,10000000,2489639,0.2489639,0.5000078324608508,188,188,1.0
B3,B,40,5.0,3,0.83754742230801,0.860261995695735,10000000,2497117,0.2497117,0.5002424796275065,187,188,0.9946808510638298
B4,B,0,3.3,3,0.7193567390665252,0.8695335826622314,10000000,2474917,0.2474917,0.49967776697157923,188,188,1.0
B4,B,0,5.0,3,0.8724197049102956,0.8891822764593736,10000000,2495091,0.2495091,0.49957055674522494,188,188,1.0
B4,B,24,3.3,3,0.3491444998023295,0.8613803722644477,10000000,2030323,0.2030323,0.5004016602284465,185,188,0.9840425531914894
B4,B,24,5.0,3,0.6355964625867815,0.882095910373923,10000000,2412379,0.2412379,0.5001577281181772,188,188,1.0
