Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,2,0.8289671655036264,0.8508266144019859,10000000,2476684,0.2476684,0.5002232824211729,188,188,1.0
A1,A,0,5.0,2,0.9042216783603302,0.8835561100109307,10000000,2499919,0.2499919,0.5001430046333502,188,188,1.0
A1,A,24,3.3,2,0.7385347413617235,0.8293061221906842,10000000,2478127,0.2478127,0.4997931905830492,186,188,0.9893617021276596
A1,A,24,5.0,2,0.8895265614402255,0.8482818776248552,10000000,2496906,0.2496906,0.5000024029739205,188,188,1.0
A1,A,40,3.3,2,0.5943808803426425,0.9344651521658667,10000000,2241691,0.2241691,0.5000394791253567,185,188,0.9840425531914894
A1,A,40,5.0,2,0.9064172153842005,0.8843324215709331,10000000,2501084,0.2501084,0.5002382966745619,188,188,1.0
A2,A,0,3.3,2,0.7496569556768282,0.8982723996944157,10000000,2456357,0.2456357,0.49963828547723316,188,188,1.0
A2,A,0,5.0,2,0.9038711926603886,0.8507869742503882,10000000,2497394,0.2497394,0.5000076079305068,188,188,1.0
A2,A,24,3.3,2,0.8477914794643601,0.8552112744786124,10000000,2492503,0.2492503,0.5005105309803037,188,188,1.0
A2,A,24,5.0,2,0.8665320410633549,0.9040887140242803,10000000,2480223,0.2480223,0.4997369188173805,188,188,1.0
A2,A,40,3.3,2,0.6330933253229695,0.8466859476483205,10000000,2294546,0.2294546,0.5000387876294483,187,188,0.9946808510638298
A2,A,40,5.0,2,0.899437338241873,0.9154042795788572,10000000,2498193,0.2498193,0.5000466337068433,188,188,1.0
A3,A,0,3.3,2,0.8873789881792659,0.8774669235881688,10000000,2499600,0.24996,0.500849335893743,188,188,1.0
A3,A,24,3.3,2,0.9184930576877176,0.8886051901708911,10000000,2498333,0.2498333,0.49981487655969,188,188,1.0
A4,A,0,3.3,2,0.9290377726229365,0.8595358443440414,10000000,2497635,0.2497635,0.50037095091957,188,188,1.0
A4,A,24,3.3,2,0.9290743405918708,0.8625896837211203,10000000,2500600,0.25006,0.5005098776293689,187,188,0.9946808510638298
A5,A,0,3.3,2,0.8500435849995925,0.8716407387528347,10000000,2492633,0.2492633,0.4999965899512684,188,188,1.0
A5,A,24,3.3,2,0.737831290246899,0.865594562560697,10000000,2462896,0.2462896,0.5000661822504888,188,188,1.0
